# x f(x) derivative
-4.32319 0.925212 -0.379452
-4.31819 0.923303 -0.384073
-4.31319 0.921371 -0.388685
-4.30819 0.919416 -0.393287
-4.30319 0.917438 -0.397879
-4.29819 0.915437 -0.402461
-4.29319 0.913413 -0.407033
-4.28819 0.911367 -0.411595
-4.28319 0.909297 -0.416147
-4.27819 0.907205 -0.420688
-4.27319 0.905091 -0.425219
-4.26819 0.902953 -0.429739
-4.26319 0.900793 -0.434248
-4.25819 0.898611 -0.438747
-4.25319 0.896406 -0.443234
-4.24819 0.894178 -0.447711
-4.24319 0.891929 -0.452176
-4.23819 0.889657 -0.45663
-4.23319 0.887362 -0.461073
-4.22819 0.885046 -0.465504
-4.22319 0.882707 -0.469923
-4.21819 0.880347 -0.474331
-4.21319 0.877964 -0.478727
-4.20819 0.875559 -0.48311
-4.20319 0.873133 -0.487482
-4.19819 0.870685 -0.491842
-4.19319 0.868215 -0.496189
-4.18819 0.865723 -0.500524
-4.18319 0.863209 -0.504846
-4.17819 0.860674 -0.509156
-4.17319 0.858118 -0.513453
-4.16819 0.85554 -0.517737
-4.16319 0.85294 -0.522008
-4.15819 0.85032 -0.526266
-4.15319 0.847678 -0.530511
-4.14819 0.845015 -0.534743
-4.14319 0.84233 -0.538961
-4.13819 0.839625 -0.543166
-4.13319 0.836899 -0.547358
-4.12819 0.834152 -0.551535
-4.12319 0.831383 -0.555699
-4.11819 0.828595 -0.559849
-4.11319 0.825785 -0.563985
-4.10819 0.822955 -0.568107
-4.10319 0.820104 -0.572215
-4.09819 0.817233 -0.576308
-4.09319 0.814341 -0.580387
-4.08819 0.811429 -0.584451
-4.08319 0.808496 -0.588501
-4.07819 0.805544 -0.592536
-4.07319 0.802571 -0.596557
-4.06819 0.799578 -0.600562
-4.06319 0.796565 -0.604552
-4.05819 0.793533 -0.608528
-4.05319 0.79048 -0.612488
-4.04819 0.787408 -0.616432
-4.04319 0.784316 -0.620362
-4.03819 0.781204 -0.624275
-4.03319 0.778073 -0.628174
-4.02819 0.774923 -0.632056
-4.02319 0.771753 -0.635923
-4.01819 0.768563 -0.639774
-4.01319 0.765355 -0.643608
-4.00819 0.762127 -0.647427
-4.00319 0.758881 -0.65123
-3.99819 0.755615 -0.655016
-3.99319 0.752331 -0.658786
-3.98819 0.749027 -0.662539
-3.98319 0.745705 -0.666276
-3.97819 0.742365 -0.669996
-3.97319 0.739005 -0.6737
-3.96819 0.735628 -0.677386
-3.96319 0.732231 -0.681056
-3.95819 0.728817 -0.684709
-3.95319 0.725384 -0.688344
-3.94819 0.721934 -0.691962
-3.94319 0.718465 -0.695563
-3.93819 0.714978 -0.699147
-3.93319 0.711473 -0.702713
-3.92819 0.707951 -0.706262
-3.92319 0.704411 -0.709793
-3.91819 0.700853 -0.713306
-3.91319 0.697278 -0.716801
-3.90819 0.693685 -0.720278
-3.90319 0.690075 -0.723738
-3.89819 0.686448 -0.727179
-3.89319 0.682803 -0.730602
-3.88819 0.679142 -0.734007
-3.88319 0.675463 -0.737394
-3.87819 0.671768 -0.740762
-3.87319 0.668056 -0.744111
-3.86819 0.664327 -0.747442
-3.86319 0.660581 -0.750755
-3.85819 0.656819 -0.754048
-3.85319 0.653041 -0.757323
-3.84819 0.649246 -0.760578
-3.84319 0.645435 -0.763815
-3.83819 0.641608 -0.767033
-3.83319 0.637765 -0.770231
-3.82819 0.633906 -0.77341
-3.82319 0.630031 -0.77657
-3.81819 0.62614 -0.779711
-3.81319 0.622234 -0.782832
-3.80819 0.618312 -0.785933
-3.80319 0.614374 -0.789015
-3.79819 0.610422 -0.792077
-3.79319 0.606454 -0.795119
-3.78819 0.60247 -0.798141
-3.78319 0.598472 -0.801144
-3.77819 0.594459 -0.804126
-3.77319 0.590431 -0.807088
-3.76819 0.586388 -0.81003
-3.76319 0.582331 -0.812952
-3.75819 0.578259 -0.815854
-3.75319 0.574172 -0.818735
-3.74819 0.570071 -0.821595
