# x f(x) derivative
-2.605 -17.6776 20.3581
-2.6 -17.576 20.28
-2.595 -17.4748 20.2021
-2.59 -17.374 20.1243
-2.585 -17.2736 20.0467
-2.58 -17.1735 19.9692
-2.575 -17.0739 19.8919
-2.57 -16.9746 19.8147
-2.565 -16.8757 19.7377
-2.56 -16.7772 19.6608
-2.555 -16.6791 19.5841
-2.55 -16.5814 19.5075
-2.545 -16.484 19.4311
-2.54 -16.3871 19.3548
-2.535 -16.2905 19.2787
-2.53 -16.1943 19.2027
-2.525 -16.0985 19.1269
-2.52 -16.003 19.0512
-2.515 -15.9079 18.9757
-2.51 -15.8133 18.9003
-2.505 -15.7189 18.8251
-2.5 -15.625 18.75
-2.495 -15.5314 18.6751
-2.49 -15.4382 18.6003
-2.485 -15.3454 18.5257
-2.48 -15.253 18.4512
-2.475 -15.1609 18.3769
-2.47 -15.0692 18.3027
-2.465 -14.9779 18.2287
-2.46 -14.8869 18.1548
-2.455 -14.7963 18.0811
-2.45 -14.7061 18.0075
-2.445 -14.6163 17.9341
-2.44 -14.5268 17.8608
-2.435 -14.4377 17.7877
-2.43 -14.3489 17.7147
-2.425 -14.2605 17.6419
-2.42 -14.1725 17.5692
-2.415 -14.0848 17.4967
-2.41 -13.9975 17.4243
-2.405 -13.9106 17.3521
-2.4 -13.824 17.28
-2.395 -13.7378 17.2081
-2.39 -13.6519 17.1363
-2.385 -13.5664 17.0647
-2.38 -13.4813 16.9932
-2.375 -13.3965 16.9219
-2.37 -13.3121 16.8507
-2.365 -13.228 16.7797
-2.36 -13.1443 16.7088
-2.355 -13.0609 16.6381
-2.35 -12.9779 16.5675
-2.345 -12.8952 16.4971
-2.34 -12.8129 16.4268
-2.335 -12.7309 16.3567
-2.33 -12.6493 16.2867
-2.325 -12.5681 16.2169
-2.32 -12.4872 16.1472
-2.315 -12.4066 16.0777
-2.31 -12.3264 16.0083
-2.305 -12.2465 15.9391
-2.3 -12.167 15.87
-2.295 -12.0878 15.8011
-2.29 -12.009 15.7323
-2.285 -11.9305 15.6637
-2.28 -11.8524 15.5952
-2.275 -11.7745 15.5269
-2.27 -11.6971 15.4587
-2.265 -11.62 15.3907
-2.26 -11.5432 15.3228
-2.255 -11.4667 15.2551
-2.25 -11.3906 15.1875
-2.245 -11.3149 15.1201
-2.24 -11.2394 15.0528
-2.235 -11.1643 14.9857
-2.23 -11.0896 14.9187
-2.225 -11.0151 14.8519
-2.22 -10.941 14.7852
-2.215 -10.8673 14.7187
-2.21 -10.7939 14.6523
-2.205 -10.7208 14.5861
-2.2 -10.648 14.52
-2.195 -10.5756 14.4541
-2.19 -10.5035 14.3883
-2.185 -10.4317 14.3227
-2.18 -10.3602 14.2572
-2.175 -10.2891 14.1919
-2.17 -10.2183 14.1267
-2.165 -10.1478 14.0617
-2.16 -10.0777 13.9968
-2.155 -10.0079 13.9321
-2.15 -9.93838 13.8675
-2.145 -9.8692 13.8031
-2.14 -9.80034 13.7388
-2.135 -9.73181 13.6747
-2.13 -9.6636 13.6107
-2.125 -9.5957 13.5469
-2.12 -9.52813 13.4832
-2.115 -9.46087 13.4197
-2.11 -9.39393 13.3563
-2.105 -9.32731 13.2931
-2.1 -9.261 13.23
-2.095 -9.19501 13.1671
-2.09 -9.12933 13.1043
-2.085 -9.06396 13.0417
-2.08 -8.99891 12.9792
-2.075 -8.93417 12.9169
-2.07 -8.86974 12.8547
-2.065 -8.80562 12.7927
-2.06 -8.74182 12.7308
-2.055 -8.67832 12.6691
-2.05 -8.61513 12.6075
-2.045 -8.55224 12.5461
-2.04 -8.48966 12.4848
-2.035 -8.42739 12.4237
-2.03 -8.36543 12.3627
-2.025 -8.30377 12.3019
-2.02 -8.24241 12.2412
-2.015 -8.18135 12.1807
-2.01 -8.1206 12.1203
-2.005 -8.06015 12.0601
-2 -8 12
-1.995 -7.94015 11.9401
-1.99 -7.8806 11.8803
-1.985 -7.82135 11.8207
-1.98 -7.76239 11.7612
-1.975 -7.70373 11.7019
-1.97 -7.64537 11.6427
-1.965 -7.58731 11.5837
-1.96 -7.52954 11.5248
-1.955 -7.47206 11.4661
-1.95 -7.41488 11.4075
-1.945 -7.35798 11.3491
-1.94 -7.30138 11.2908
-1.935 -7.24508 11.2327
-1.93 -7.18906 11.1747
-1.925 -7.13333 11.1169
-1.92 -7.07789 11.0592
-1.915 -7.02274 11.0017
-1.91 -6.96787 10.9443
-1.905 -6.91329 10.8871
-1.9 -6.859 10.83
-1.895 -6.80499 10.7731
-1.89 -6.75127 10.7163
-1.885 -6.69783 10.6597
-1.88 -6.64467 10.6032
-1.875 -6.5918 10.5469
-1.87 -6.5392 10.4907
-1.865 -6.48689 10.4347
-1.86 -6.43486 10.3788
-1.855 -6.3831 10.3231
-1.85 -6.33163 10.2675
-1.845 -6.28043 10.2121
-1.84 -6.2295 10.1568
-1.835 -6.17886 10.1017
-1.83 -6.12849 10.0467
-1.825 -6.07839 9.99188
-1.82 -6.02857 9.9372
-1.815 -5.97902 9.88268
-1.81 -5.92974 9.8283
-1.805 -5.88074 9.77408
-1.8 -5.832 9.72
-1.795 -5.78353 9.66608
-1.79 -5.73534 9.6123
-1.785 -5.68741 9.55868
